"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","421",NA,367.110644704275,5732266.32602832
"Great Central","BYO","422",NA,377.797116729911,5504621.38880346
"Great Central","BYO","423",NA,385.782072860913,5594580.70516815
"Great Central","BYO","424",NA,315.314619695145,5936406.19779671
"Great Central","BYO","425",NA,223.532550637149,6467704.71443635
"Great Central","BYO","426",NA,280.008083469264,5743038.69789901
"Great Central","BYO","427",NA,250.94815347372,5915707.43285977
"Great Central","BYO","428",NA,278.751406168091,5831089.70602768
"Great Central","BYO","429",NA,286.081783006487,5883037.24805513
"Great Central","BYO","430",NA,301.533248238698,5778227.93466467
"Great Central","BYO","431",NA,320.599646877974,5837774.72714318
"Great Central","BYO","432",NA,446.011659884524,5443879.35383289
"Great Central","BYO","433",NA,340.234829353487,5696417.44883671
"Great Central","BYO","434",NA,373.402462834881,5307090.09951615
"Great Central","BYO","435",NA,287.084559907805,5622837.06997062
"Great Central","BYO","436",NA,263.838859415191,6245284.3958751
"Great Central","BYO","437",NA,314.278646234687,5777025.597384
"Great Central","BYO","438",NA,272.851695730559,6229206.89876819
"Great Central","BYO","439",NA,319.638785613624,5754504.3223072
"Great Central","BYO","440",NA,359.09001783631,5609780.1782855
"Great Central","BYO","441",NA,538.749151660151,4967588.41889118
"Great Central","BYO","442",NA,289.709263835682,5482129.02906552
"Great Central","BYO","443",NA,332.003721323573,5361134.6460876
"Great Central","BYO","444",NA,357.079365037015,5568373.64791322
"Great Central","BYO","445",NA,372.921140897828,5913517.18050692
"Great Central","BYO","446",NA,240.316038784226,6344979.98756304
"Great Central","BYO","447",NA,365.337117162688,5496348.88844992
"Great Central","BYO","448",NA,313.145631382993,5966506.93202324
"Great Central","BYO","449",NA,315.98710227202,5749109.30328207
"Great Central","BYO","450",NA,365.948424655401,6106654.34599752
"Great Central","BYO","451",NA,309.962982527818,5412545.28403334
"Great Central","BYO","452",NA,398.27260980125,5385596.81260906
"Great Central","BYO","453",NA,323.089011949248,5796654.90799816
"Great Central","BYO","454",NA,314.358792519495,5837480.79716626
"Great Central","BYO","455",NA,306.047842353282,5766068.04549088
"Great Central","BYO","456",NA,326.004311107619,5531192.15331987
