"stock","return_year","ttl_age","fw_age","escapement","catch","fertilized","hatchery_release","escapement_data_source","catch_data_source","age_data_source","stockid_source","brood_year"
"GCL",1988,5,3,45742.2943498886,21668.8532950917,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"GCL",1988,6,3,3785.88032178036,2872.29929213171,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"SPR",1988,3,2,22756.5628259172,2708.70834939314,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1988,4,2,121310.968057506,97386.5319946925,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1988,4,3,2141.95644872369,552.141851579797,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1988,5,2,38772.7403483671,43184.299495688,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1988,5,3,46900.3140658307,31820.7299545114,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1988,6,3,3534.45825365491,2618.15552315897,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1989,3,2,54722.7815445343,2129.44658598407,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1989,4,2,131171.437013226,9055.29570873689,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1989,4,3,14888.6324118076,181.730838112994,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1989,5,2,26576.6476411356,2828.4086103025,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1989,5,3,7034.95902766857,278.786413602526,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1989,6,3,6868.5423616277,450.332718523667,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1989,3,2,32451.7019478412,1552.36763424549,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1989,4,2,89669.8751373029,7479.94481285565,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1989,4,3,2186.427384394,84.419761887006,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1989,5,2,28616.2986146084,3217.96181035747,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1989,5,3,4102.46805029431,227.680883456298,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1989,6,3,10960.2288655593,841.095596935444,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"GCL",1990,3,2,13766.6594858809,831.829788673275,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"GCL",1990,4,2,59735.4341924546,8379.40929242556,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1990,4,3,2004.04399768825,49.8217588223855,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1990,5,2,61972.8443529237,4675.66037161403,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1990,5,3,38837.5179587738,4967.84576857693,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1990,6,3,2774.50001227867,448.636766763947,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1990,3,2,18217.8420139981,1322.58806324487,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"SPR",1990,4,2,55928.6822889223,10410.1819136968,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1990,4,3,940.703931623932,107.399542134591,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1990,5,2,32130.2407101599,3753.38155847249,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1990,5,3,4236.68990980537,1484.6195744939,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1990,6,3,1335.84114549045,157.625601081255,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1991,3,2,21980.8165133245,15296.1596791209,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"GCL",1991,4,2,352824.674186502,677657.724027883,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"GCL",1991,4,3,8433.12521259737,8721.42011996016,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"GCL",1991,5,2,35595.4024826943,89351.2745116649,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1991,5,3,8620.49444161285,10247.2397659738,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1991,6,3,5935.48716326924,6240.6576325117,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"SPR",1991,3,2,54337.4883561778,14398.293124016,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"SPR",1991,4,2,72027.2145954689,251356.721111789,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"SPR",1991,4,3,15014.6272100816,4639.35760006016,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"SPR",1991,5,2,53474.9601730379,64338.9528034834,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1991,5,3,12777.6506748492,24037.7624238107,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1991,6,3,1843.05899038462,3826.43719972628,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1992,3,2,32758.0484509275,4643.14849490142,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1989
"GCL",1992,4,2,80444.4083936489,63887.7022007802,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"GCL",1992,4,3,5497.41384093745,1239.20024438516,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"GCL",1992,5,2,27024.7755774978,77806.8239396289,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"GCL",1992,5,3,39532.2353159357,30397.6525709938,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"GCL",1992,6,3,2896.11842105263,580.306006025234,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"SPR",1992,3,2,27399.1419353857,10211.563068781,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1989
"SPR",1992,4,2,126236.767018471,184533.240368326,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"SPR",1992,4,3,1897.61454387464,1784.98821585384,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
"SPR",1992,5,2,27211.2420091263,142127.918738755,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"SPR",1992,5,3,37775.4446120201,45426.7272359729,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1987
"SPR",1992,6,3,1417.78988112263,8258.87558102902,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1986
"GCL",1993,3,2,9930.61822506825,9557.46030315326,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1990
"GCL",1993,4,2,93911.6989748119,145624.292900526,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1989
"GCL",1993,4,3,4136.68119298238,4630.03720427103,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1989
"GCL",1993,5,2,99445.8008196742,219156.557055359,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1988
